player_id,batter_atbats,batter_homeruns,batter_ops,batter_runs,batter_rbi,batter_average,pitcher_innings,pitcher_wins,pitcher_losses,pitcher_era,pitcher_whip,pitcher_saves,pitcher_strikeouts,war,allstar_apps,in_hall_of_fame
astacpe01,677,0,0.294,31,28,0.133,2196,129,124,4.67,1.37,0,1664,25.6,0,0
nitkocj01,15,0,0.266,1,1,0.133,479,18,32,5.37,1.63,3,347,0,0,0
kileda01,657,2,0.367,38,40,0.132,2165,133,119,4.12,1.41,0,1668,20.2,3,0
honeyri01,182,0,0.358,13,9,0.132,2160,109,143,3.72,1.31,38,1038,21.7,2,0
tewksbo01,380,0,0.327,20,19,0.132,1807,110,102,3.92,1.29,1,812,20.9,1,0
anderla02,38,0,0.327,4,0,0.132,995,40,39,3.15,1.25,49,758,13.9,0,0
perezod01,340,1,0.321,25,12,0.132,1335,73,82,4.46,1.35,0,920,8.9,1,0
sotoma01,530,1,0.318,32,24,0.132,1730,100,92,3.47,1.19,4,1449,25.7,3,0
jonesra01,599,0,0.307,37,20,0.132,1933,100,123,3.42,1.25,2,735,17.7,2,0
humphbo01,61,0,0.395,3,3,0.131,566,27,21,3.36,1.24,20,364,5.4,0,0
wilkste01,206,0,0.34,15,13,0.131,913,59,30,3.26,1.22,46,403,16.3,0,0
lowdegr01,191,0,0.339,7,6,0.131,590,23,39,3.58,1.54,0,296,-3.1,0,0
latosma01,327,4,0.339,15,15,0.131,1153,71,59,3.64,1.21,0,1011,12.4,0,0
bensokr01,321,1,0.337,23,22,0.131,1243,70,75,4.42,1.39,0,806,12.8,0,0
radatdi01,145,1,0.332,6,11,0.131,693,52,43,3.13,1.19,122,745,15.6,2,0
coateji01,160,0,0.331,14,7,0.131,683,43,22,4.01,1.37,15,396,-0.4,2,0
perryga01,1076,6,0.317,48,47,0.131,5350,314,265,3.11,1.18,11,3534,90,5,1
blylebe01,451,0,0.29,19,25,0.131,4970,287,250,3.31,1.2,0,3701,94.5,2,1
westbja01,169,1,0.381,10,14,0.13,1747,105,103,4.32,1.41,0,965,13.1,1,0
lemasde01,552,4,0.346,25,36,0.13,1787,90,105,3.59,1.29,8,1305,18.3,1,0
allenne01,115,0,0.336,3,7,0.13,988,58,70,3.88,1.42,75,611,7,0,0
mitchwi01,530,0,0.32,29,27,0.13,1632,84,92,2.88,1.27,4,921,14.1,0,0
valdeis01,399,1,0.317,20,17,0.13,1827,104,105,4.09,1.31,1,1173,24.1,0,0
carrocl02,208,1,0.302,17,7,0.13,1353,96,73,2.94,1.28,143,681,17.6,2,0
sosael01,92,0,0.299,2,6,0.13,918,59,51,3.32,1.31,83,538,9,0,0
limajo01,292,0,0.294,18,10,0.13,1567,89,102,5.27,1.39,5,980,4.9,1,0
mechegi01,23,0,0.26,1,2,0.13,1432,84,83,4.49,1.42,0,1050,16.8,1,0
matlajo01,441,0,0.366,32,23,0.129,2363,125,126,3.18,1.23,3,1516,39.4,3,0
groveor01,373,1,0.359,23,19,0.129,1176,63,73,3.78,1.43,4,374,1.7,1,0
lidleco01,170,1,0.355,10,8,0.129,1322,82,72,4.57,1.33,2,838,10.8,0,0
weilabo01,443,3,0.355,21,19,0.129,1388,62,94,4.24,1.49,7,614,10.6,0,0
brownke01,495,2,0.331,20,29,0.129,3256,211,144,3.28,1.22,0,2397,67.8,6,0
arroybr01,629,6,0.331,35,29,0.129,2435,148,137,4.28,1.3,1,1571,23.5,1,0
harnipe01,513,2,0.327,40,29,0.129,1959,111,103,3.89,1.3,0,1368,17.9,1,0
villoro01,170,1,0.316,7,7,0.129,1168,61,65,4.73,1.5,8,925,3.6,0,0
hargast01,325,1,0.301,20,9,0.129,1632,87,107,3.92,1.35,4,891,10.6,1,0
wellsda01,178,0,0.288,8,5,0.129,3439,239,157,4.13,1.27,13,2201,53.4,3,0
kemmeru01,265,2,0.359,13,16,0.128,1066,43,59,4.47,1.44,8,505,4.7,0,0
darwida01,305,2,0.343,15,22,0.128,3016,171,182,3.84,1.27,32,1942,39.8,0,0
moyerja01,400,0,0.339,24,15,0.128,4074,269,209,4.25,1.32,0,2441,49.9,1,0
coffmdi01,400,0,0.333,21,16,0.128,1460,72,95,4.65,1.54,38,372,5.3,0,0
groombo01,764,0,0.327,49,35,0.128,2336,119,150,3.11,1.28,13,1159,11.3,0,0
chipmbo01,250,0,0.309,18,10,0.128,880,51,46,3.72,1.45,14,322,7.4,0,0
dacqujo01,181,1,0.384,12,12,0.127,779,34,51,4.56,1.61,15,600,0,0,0
grimbo01,189,3,0.353,12,21,0.127,759,61,41,3.62,1.37,37,443,5.8,1,0
andujjo01,607,5,0.346,31,38,0.127,2153,127,118,3.58,1.28,9,1032,16.1,4,0
hamiljo02,339,4,0.337,19,22,0.127,1340,74,73,4.45,1.42,1,894,14.3,0,0
downial01,717,2,0.329,36,51,0.127,2268,123,107,3.22,1.27,3,1639,21,1,0
walkebi01,489,4,0.321,24,26,0.127,1489,97,77,3.59,1.42,8,626,14.5,1,0
doakbi01,905,1,0.315,40,30,0.127,2782,169,157,2.98,1.27,16,1014,23.4,0,0
grissle01,205,0,0.312,13,4,0.127,701,29,48,3.89,1.39,7,384,6.1,1,0
twitcwa01,260,0,0.31,9,11,0.127,1063,48,65,3.98,1.43,2,789,2.3,1,0
heintke01,440,0,0.308,25,33,0.127,1501,77,98,3.93,1.45,10,564,14.4,0,0
ojedabo01,347,1,0.3,14,9,0.127,1884,115,98,3.65,1.33,1,1128,24,0,0
grimsro02,353,0,0.283,21,15,0.127,2039,124,99,3.81,1.31,3,750,5.1,1,0
mcgloji01,380,3,0.367,27,15,0.126,1300,67,77,3.61,1.28,3,709,6.3,1,0
turlebo01,547,4,0.343,44,32,0.126,1712,101,85,3.64,1.42,12,1265,13.2,3,0
stalege01,525,1,0.325,35,19,0.126,1981,134,111,3.7,1.31,61,727,18.9,4,0
jacksda02,428,0,0.312,28,28,0.126,2072,112,131,4.01,1.41,1,1225,17.2,2,0
shortch02,697,0,0.285,29,24,0.126,2325,135,132,3.43,1.3,18,1629,28.6,2,0
hernara01,40,0,0.397,3,2,0.125,430,23,15,3.03,1.24,46,255,6.2,0,0
pooleji02,8,0,0.375,1,0,0.125,363,22,12,4.31,1.47,4,256,0.9,0,0
mlickda01,208,0,0.343,13,6,0.125,1232,66,80,4.72,1.47,1,834,6.2,0,0
odellbi01,528,2,0.331,43,19,0.125,1817,105,100,3.29,1.24,48,1133,0,2,0
fisheja01,594,1,0.329,32,31,0.125,1975,86,139,4.06,1.35,9,1017,4.4,0,0
klippjo01,502,5,0.327,28,29,0.125,1967,101,118,4.24,1.47,66,1158,11.1,0,0
hamilst01,112,0,0.323,8,6,0.125,663,40,31,3.05,1.16,42,531,11.2,0,0
garresc01,232,1,0.323,18,10,0.125,959,69,53,3.29,1.28,48,703,9.6,1,0
lacosmi01,481,2,0.319,30,19,0.125,1739,98,103,4.02,1.44,12,783,0.3,1,0
bosmadi01,329,0,0.312,14,14,0.125,1591,82,85,3.67,1.26,2,757,10.9,0,0
normafr01,574,0,0.31,29,27,0.125,1939,104,103,3.64,1.34,8,1303,16.2,0,0
johnsra05,625,1,0.305,20,40,0.125,4135,303,166,3.29,1.17,2,4875,101,10,1
pattebo01,56,0,0.298,3,4,0.125,617,39,40,4.08,1.29,28,483,4.6,0,0
whitsed01,576,1,0.298,24,27,0.125,2240,126,123,3.79,1.31,8,1266,21.3,1,0
otoolji01,538,0,0.291,25,21,0.125,1615,98,84,3.57,1.29,4,1039,0,1,0
dipinfr01,72,0,0.29,4,2,0.125,700,35,38,3.83,1.35,56,515,1.8,0,0
morgacy01,489,0,0.289,26,37,0.125,1445,78,78,2.51,1.22,3,667,8.8,0,0
foulkke01,16,0,0.25,0,0,0.125,786,41,37,3.33,1.08,191,718,20.7,1,0
lopezau01,24,0,0.25,0,0,0.125,910,62,36,3.56,1.27,93,635,9.3,1,0
huffda01,8,0,0.25,1,0,0.125,393,25,30,5.18,1.51,0,234,-1.8,0,0
scottmi03,653,2,0.313,33,45,0.124,2068,124,108,3.54,1.2,3,1469,22.7,3,0
capuach01,371,1,0.307,16,20,0.124,1429,77,92,4.38,1.36,0,1199,9,1,0
kimby01,153,0,0.3,4,10,0.124,841,54,60,4.42,1.38,86,806,10.6,1,0
belchti01,388,2,0.299,19,25,0.124,2442,146,140,4.16,1.34,5,1519,25.9,0,0
culvege01,161,0,0.293,8,11,0.124,789,48,49,3.62,1.45,23,451,4.7,0,0
hallaro01,275,0,0.267,15,12,0.124,2749,203,105,3.39,1.18,1,2117,64.3,8,1
pappami01,1073,20,0.354,72,67,0.123,3186,209,164,3.4,1.23,4,1728,43.7,3,0
hootobu01,748,4,0.336,42,49,0.123,2652,151,136,3.38,1.24,7,1491,35.5,1,0
mayru01,341,0,0.33,12,14,0.123,2622,152,156,3.46,1.25,12,1760,20.4,0,0
johnsje01,122,0,0.312,4,4,0.123,770,48,51,4.31,1.52,41,489,-2.6,0,0
culpra01,602,1,0.309,40,34,0.123,1898,122,101,3.58,1.28,1,1411,15,2,0
pattima01,309,2,0.309,15,20,0.123,2038,114,109,3.62,1.24,25,1179,20.2,1,0
gardnma01,506,1,0.297,22,22,0.123,1764,99,93,4.56,1.35,1,1256,4.8,0,0
dobsopa01,317,0,0.291,13,12,0.123,2120,122,129,3.54,1.28,19,1301,16.7,1,0
johnssi01,709,0,0.278,29,20,0.123,2281,101,165,4.09,1.4,15,840,7.9,0,0
grissma01,189,0,0.321,9,6,0.122,810,47,45,3.41,1.38,58,459,12.8,1,0
fisheed02,246,0,0.306,11,8,0.122,1538,85,70,3.41,1.19,81,812,10.1,1,0
sparkst01,41,0,0.289,1,3,0.122,1319,59,76,4.89,1.49,3,658,10.2,0,0
